zip_code,date,rent_usd,beds_baths,sqft,address,url
94123,2026-04-10 23:11:41,7140.0,2 Beds,,,https://www.apartments.com/2232-north-point-st-san-francisco-ca-unit-si-fl3-id434/h6resm2/
94103,2026-04-10 23:12:47,3560.0,1 Bed,,,https://www.apartments.com/1075-market-st-san-francisco-ca-unit-si-fl3-id461/dxb10gk/
94102,2026-04-10 23:12:53,3330.0,Studio,,,https://www.apartments.com/24-franklin-st-san-francisco-ca-unit-si-fl6-id111/7n8xghy/
94108,2026-04-10 23:12:59,4850.0,Studio,,,https://www.apartments.com/899-pine-st-san-francisco-ca-unit-si-fl8-id128/zp75dkz/
94158,2026-04-10 23:13:04,5870.0,2 Beds,,,https://www.apartments.com/690-long-bridge-st-san-francisco-ca-unit-si-fl5-id325/t3cdbsb/
94105,2026-04-10 23:13:10,5590.0,1 Bed,,,https://www.apartments.com/340-fremont-st-san-francisco-ca-unit-si-fl30-id144/19660e6/
94105,2026-04-10 23:13:16,6820.0,1 Bed,,,https://www.apartments.com/340-fremont-st-san-francisco-ca-unit-si-fl7-id156/5gqe8kp/
94102,2026-04-10 23:13:22,3820.0,Studio,,,https://www.apartments.com/24-franklin-st-san-francisco-ca-unit-si-fl5-id109/tky86m9/
94158,2026-04-10 23:13:28,8690.0,2 Beds,,,https://www.apartments.com/690-long-bridge-st-san-francisco-ca-unit-si-fl8-id142/7fz0phz/
94109,2026-04-10 23:13:33,4390.0,1 Bed,,,https://www.apartments.com/1285-sutter-st-san-francisco-ca-unit-si-fl6-id689/25ke2nc/
94133,2026-04-10 23:13:39,3580.0,1 Bed,,,https://www.apartments.com/2290-stockton-st-san-francisco-ca-unit-si-fl4-id660/qfhvspx/
94105,2026-04-10 23:14:45,6760.0,1 Bed,,,https://www.apartments.com/399-fremont-st-san-francisco-ca-unit-si-fl27-id778/y6gs2rt/
94105,2026-04-10 23:14:51,5180.0,1 Bed,,,https://www.apartments.com/388-beale-st-san-francisco-ca-unit-si-fl15-id775/1y1ydr7/
94105,2026-04-10 23:14:57,6390.0,1 Bed,,,https://www.apartments.com/399-fremont-st-san-francisco-ca-unit-si-fl7-id848/n6llvsp/
94105,2026-04-10 23:15:03,5150.0,2 Beds,,,https://www.apartments.com/39-tehama-st-san-francisco-ca-unit-si-fl11-id884/kxqrsdb/
94109,2026-04-10 23:15:08,5080.0,1 Bed,,,https://www.apartments.com/1285-sutter-st-san-francisco-ca-unit-si-fl3-id788/3rcqh2f/
94158,2026-04-10 23:16:15,6690.0,2 Beds,,,https://www.apartments.com/355-berry-st-san-francisco-ca-unit-si-fl4-id837/46w6xsh/
94111,2026-04-10 23:16:21,3820.0,1 Bed,,,https://www.apartments.com/240-lombard-st-san-francisco-ca-unit-si-fl2-id913/cz2480e/
94105,2026-04-10 23:16:27,6730.0,2 Beds,,,https://www.apartments.com/340-fremont-st-san-francisco-ca-unit-si-fl8-id224/5s2dd4q/
94158,2026-04-10 23:16:33,5860.0,1 Bed,,,https://www.apartments.com/185-channel-st-san-francisco-ca-unit-si-fl6-id772/t7hyk7c/
94103,2026-04-10 23:16:37,3530.0,Studio,,,https://www.apartments.com/1-brady-st-san-francisco-ca-unit-si-fl4-id1161/0pnj373/
94103,2026-04-10 23:16:43,3550.0,Studio,,,https://www.apartments.com/1-brady-st-san-francisco-ca-unit-si-fl4-id1163/g9cs9ex/
94103,2026-04-10 23:16:50,7590.0,2 Beds,,,https://www.apartments.com/30-otis-st-san-francisco-ca-unit-si-fl17-id1281/532lvtm/
94103,2026-04-10 23:16:56,9060.0,2 Beds,,,https://www.apartments.com/30-otis-st-san-francisco-ca-unit-si-fl19-id1282/f24223t/
94103,2026-04-10 23:17:02,4900.0,1 Bed,,,https://www.apartments.com/30-otis-st-san-francisco-ca-unit-si-fl6-id1275/3peny3f/
94103,2026-04-10 23:17:08,4250.0,Studio,,,https://www.apartments.com/30-otis-st-san-francisco-ca-unit-si-fl4-id1358/lr7rjrg/
94107,2026-04-10 23:18:13,4900.0,1 Bed,,,https://www.apartments.com/2-townsend-st-san-francisco-ca-unit-si-fl4-id1393/5m12n8q/
94107,2026-04-10 23:18:19,7070.0,2 Beds,,,https://www.apartments.com/2-townsend-st-san-francisco-ca-unit-si-fl5-id1399/tkn4fr8/
94103,2026-04-10 23:18:25,7530.0,2 Beds,,,https://www.apartments.com/8-10th-st-san-francisco-ca-unit-si-fl32-id1406/25q41mb/
94103,2026-04-10 23:18:31,4810.0,1 Bed,,,https://www.apartments.com/975-bryant-st-san-francisco-ca-unit-si-fl5-id1424/scdf837/
94103,2026-04-10 23:18:37,4180.0,1 Bed,,,https://www.apartments.com/434-minna-st-san-francisco-ca-unit-si-fl10-id1431/lbrz6yd/
94103,2026-04-10 23:19:43,4320.0,1 Bed,,,https://www.apartments.com/434-minna-st-san-francisco-ca-unit-si-fl14-id1432/7ttc6jw/
94103,2026-04-10 23:19:48,2980.0,Studio,,,https://www.apartments.com/434-minna-st-san-francisco-ca-unit-si-fl4-id1435/rd2frg0/
94103,2026-04-10 23:19:54,3020.0,Studio,,,https://www.apartments.com/434-minna-st-san-francisco-ca-unit-si-fl5-id1433/s0jnm95/
94103,2026-04-10 23:20:00,3790.0,1 Bed,,,https://www.apartments.com/400-clementina-st-san-francisco-ca-unit-si-fl7-id1449/3cxxt5e/
94129,2026-04-10 23:20:06,4390.0,1 Bed,,,https://www.apartments.com/1801-wedemeyer-st-san-francisco-ca-unit-si-fl4-id1457/370ephd/
94129,2026-04-10 23:20:12,3620.0,1 Bed,,,https://www.apartments.com/1801-wedemeyer-st-san-francisco-ca-unit-si-fl2-id1456/zmgjnjx/
94103,2026-04-10 23:20:17,3580.0,Studio,,,https://www.apartments.com/30-otis-st-san-francisco-ca-unit-si-fl4-id1454/t1hrtk9/
94102,2026-04-10 23:20:23,5610.0,"1 Bed, 1 Bath",646.0,,https://www.apartments.com/100-van-ness-ave-san-francisco-ca-unit-si-fl17-id1476/jk773k6/
94114,2026-04-10 23:34:06,2400.0,Studio,,,https://www.apartments.com/2255-market-st-san-francisco-ca/8m4jlr0/
94110,2026-04-10 23:34:10,2100.0,Studio,,,https://www.apartments.com/2903-mission-st-san-francisco-ca-unit-apt-1/ferp0kv/
94105,2026-04-10 23:34:13,5387.0,"1 Bed, 1 Bath",648.0,Unit 07F at Spera,https://www.apartments.com/spera-san-francisco-ca/eqzek7p/#2ysp8bc-2-unit/
