title,beds_baths,pricing,address,zip_code,url,scraped_at
"1801 Wedemeyer St, San Francisco, CA 94129",1 Bed,"$4,390","1801 Wedemeyer St, San Francisco, CA 94129",94129,https://www.apartments.com/1801-wedemeyer-st-san-francisco-ca-unit-si-fl4-id1457/370ephd/,2026-04-10 23:20:06 UTC
"1801 Wedemeyer St, San Francisco, CA 94129",1 Bed,"$3,620","1801 Wedemeyer St, San Francisco, CA 94129",94129,https://www.apartments.com/1801-wedemeyer-st-san-francisco-ca-unit-si-fl2-id1456/zmgjnjx/,2026-04-10 23:20:12 UTC
"30 Otis St, San Francisco, CA 94103",Studio,"$3,580","30 Otis St, San Francisco, CA 94103",94103,https://www.apartments.com/30-otis-st-san-francisco-ca-unit-si-fl4-id1454/t1hrtk9/,2026-04-10 23:20:17 UTC
"2255 Market St, San Francisco, CA 94114",Studio,"$2,400","2255 Market St, San Francisco, CA 94114",94114,https://www.apartments.com/2255-market-st-san-francisco-ca/8m4jlr0/,2026-04-10 23:34:06 UTC
"2903 Mission St, San Francisco, CA 94110",Studio,"$2,100","2903 Mission St, San Francisco, CA 94110",94110,https://www.apartments.com/2903-mission-st-san-francisco-ca-unit-apt-1/ferp0kv/,2026-04-10 23:34:10 UTC
"1038-1098 Larkin St, San Francisco, CA 94109",Studio,"$1,200","1038-1098 Larkin St, San Francisco, CA 94109",94109,https://www.apartments.com/1038-1098-larkin-st-san-francisco-ca/72c340z/,2026-04-10 23:34:26 UTC
"1566 Newcomb Ave, San Francisco, CA 94124",3 Beds,"$4,490","1566 Newcomb Ave, San Francisco, CA 94124",94124,https://www.apartments.com/1566-newcomb-ave-san-francisco-ca/fvjxg1t/,2026-04-10 23:34:32 UTC
"1408 Shafter Ave, San Francisco, CA 94124",1 Bed,"$2,800","1408 Shafter Ave, San Francisco, CA 94124",94124,https://www.apartments.com/1408-shafter-ave-san-francisco-ca-unit-1/5jgbt0q/,2026-04-10 23:34:38 UTC
"899 Pine St, San Francisco, CA 94108",1 Bed,"$6,750","899 Pine St, San Francisco, CA 94108",94108,https://www.apartments.com/899-pine-st-san-francisco-ca-unit-si-fl10-id1336274p/mnhlcpk/,2026-04-10 23:34:42 UTC
"185 Miriam St, Daly City, CA 94014",1 Bed,"$1,300","185 Miriam St, Daly City, CA 94014",94014,https://www.apartments.com/185-miriam-st-daly-city-ca/blldc1c/,2026-04-10 23:34:48 UTC
"756 Potrero Ave Unit Lower, San Francisco, CA 94110",1 Bed,"$2,300","756 Potrero Ave Unit Lower, San Francisco, CA 94110",94110,https://www.apartments.com/756-potrero-ave-san-francisco-ca/5lg66zn/,2026-04-10 23:34:54 UTC
