title,pricing,beds_baths,address,amenities,url,scraped_at
TMLP 12-mo. | Experience Convenience: Laundry on Every Floor,"$2,951",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-experience/7927179615.html,2026-04-12 05:22:44 UTC
"Concierge, Computer Nooks, Track Lighting",$0,,portola district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-concierge-computer-nooks/7927179471.html,2026-04-12 05:22:44 UTC
"Reserved Monthly Parking, City and Courtyard Views, Remodeled Kitchen",$0,,lower nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-reserved-monthly-parking/7927179408.html,2026-04-12 05:22:44 UTC
"Yoga Studio, Natural light, Bike Room, Vinyl plank flooring",$0,,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-yoga-studio-natural-light/7927179288.html,2026-04-12 05:22:44 UTC
"TMLP 13-mo. | Impeccable Studio/1 BA with Dual-Zone AC, High-Speed Internet Incl","$5,015",,SOMA / south beach,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-13-mo-impeccable/7927178635.html,2026-04-12 05:22:44 UTC
TMLP 12-mo. | SOMA one-bedroom apartment near Hayes Valley,"$3,376",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-soma-one/7927178408.html,2026-04-12 05:22:44 UTC
Great Experiences Are Just Around The Corner. North Beach Living.,$0,,russian hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-experiences-are/7927178313.html,2026-04-12 05:22:44 UTC
"TMLP 14-mo. | Bicycle Storage Available, Additional Storage Available","$4,390",,financial district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-14-mo-bicycle/7927178226.html,2026-04-12 05:22:44 UTC
Minutes from the Financial District: The Perfect SF Hub!,$0,,north beach / telegraph hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-minutes-from-the/7927178128.html,2026-04-12 05:22:44 UTC
TMLP 12-mo. | Iconic Living Designed to Meet Your Needs.,"$2,106",,tenderloin,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-iconic-living/7927177962.html,2026-04-12 05:22:44 UTC
"Rent-Controlled One Bedroom at Mission, with Saltwater Pool Onsite!",$0,,castro / upper market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rent-controlled-one/7927177823.html,2026-04-12 05:22:44 UTC
"Stunning Fitness Center, A Must See, Oversized Windows",$0,,bayview,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stunning-fitness-center/7927177751.html,2026-04-12 05:22:44 UTC
"Pet Park, Bicycle Parking, Stainless Steel Appliances, EV Charging","$4,379",,Mid-Market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-park-bicycle-parking/7927177713.html,2026-04-12 05:22:44 UTC
"City & Bay Views! Light, Open Floor Plans.",$0,,marina / cow hollow,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-city-bay-views-light-open/7927177509.html,2026-04-12 05:22:44 UTC
355 Fulton #410 - Beautiful 1x1 - Great Area - Large Closets - Pets OK,"$3,790",,hayes valley,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-355-fulton-beautiful-1x1/7927175113.html,2026-04-12 05:22:44 UTC
4/2 versatile home,"$5,888",,San Francisco,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-versatile-home/7927173535.html,2026-04-12 05:22:44 UTC
Spacious 1bdroom+Den,"$2,600",,lower nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-1bdroomden/7927172102.html,2026-04-12 05:22:44 UTC
RENT YOUR FREEDOM WITHOUT LIVING HOME.,"$1,599",,"San Leandro, CA",,https://sfbay.craigslist.org/sfc/apa/d/san-leandro-rent-your-freedom-without/7927164606.html,2026-04-12 05:22:44 UTC
Great Experiences Are Just Around The Corner.,"$1,774",,"Alameda, CA",,https://sfbay.craigslist.org/sfc/apa/d/alameda-great-experiences-are-just/7927163516.html,2026-04-12 05:22:44 UTC
Falling Leaves … Falling Prices! They’re Both Happening.,"$1,579",,"San Leandro, CA",,https://sfbay.craigslist.org/sfc/apa/d/san-leandro-falling-leaves-falling/7927166075.html,2026-04-12 05:22:44 UTC
"Bike storage, Retail, Back-lit LED mirrors","$5,371",,north beach / telegraph hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bike-storage-retail-back/7927168268.html,2026-04-12 05:22:44 UTC
"Pet spa, Bike storage, Back-lit LED mirrors","$3,924",,north beach / telegraph hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-spa-bike-storage-back/7927167920.html,2026-04-12 05:22:44 UTC
"Tour Today, Luxe Throughout, Enclosed Gated Parking",$0,,bayview,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tour-today-luxe/7927167719.html,2026-04-12 05:22:44 UTC
"Retail, Floor to ceiling tiling in bathrooms","$3,606",,north beach / telegraph hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-retail-floor-to-ceiling/7927167621.html,2026-04-12 05:22:44 UTC
TMLP 12-mo. | Urban Living at Its Best: On-Site Fitness Center,"$3,376",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-urban-living/7927166246.html,2026-04-12 05:22:44 UTC
"24 Hour Fitness Center, Renovated 24-hour Fitness Center",$0,,lower nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-24-hour-fitness-center/7927164181.html,2026-04-12 05:22:44 UTC
"Now Showing, Bicycle Parking, SoMa Life, Washer and Dryer","$4,379",,Mid-Market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-now-showing-bicycle/7927163743.html,2026-04-12 05:22:44 UTC
TMLP 12-mo. | Self-Serve Pet Spa And Grooming Area,"$6,096",,financial district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-self-serve-pet/7927163176.html,2026-04-12 05:22:44 UTC
"HVAC, Rooftop Deck, Package Receiving","$5,065",,SOMA / south beach,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-hvac-rooftop-deck-package/7925384224.html,2026-04-12 05:22:44 UTC
15-mo. | Sophisticated Upgrades + Elite Dog Parks-Find Your Space!,"$3,607",,western addition,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-15-mo-sophisticated/7927157770.html,2026-04-12 05:22:44 UTC
1900 Washington #2 - Charming Studio - Private - Great Area - Pets OK,"$2,795",,pacific heights,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1900-washington-charming/7927153230.html,2026-04-12 05:22:44 UTC
"Impeccable / with Dual-Zone AC, High-Speed Internet Includ","$4,720",,SOMA / south beach,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-impeccable-with-dual-zone/7927151860.html,2026-04-12 05:22:44 UTC
Discover Bayside Apartment Living.,$0,,marina / cow hollow,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-discover-bayside/7927151289.html,2026-04-12 05:22:44 UTC
Rent-Controlled Apartments in the Mission - Newly Remodeled!,$0,,castro / upper market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rent-controlled/7927150062.html,2026-04-12 05:22:44 UTC
Hurry Last One Left! Don't Miss Out!,$0,,potrero hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-hurry-last-one-left-dont/7927149852.html,2026-04-12 05:22:44 UTC
"TMLP 12-mo. | Modern Conveniences & Entertainment, Outside Your Front Door!","$3,376",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-modern/7927149680.html,2026-04-12 05:22:44 UTC
"24 Hour Fitness Center, On-site Pet Park, Glass Tile Backsplash",$0,,lower nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-24-hour-fitness-center-on/7927149574.html,2026-04-12 05:22:44 UTC
"A Must See, Vinyl plank flooring, Quartz countertops",$0,,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-must-see-vinyl-plank/7927149219.html,2026-04-12 05:22:44 UTC
Exceptional 2x2 with Hardwood Floors Full-Sized Washer/Dryer,$0,,portola district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-exceptional-2x2-with/7927149086.html,2026-04-12 05:22:44 UTC
"Spacious Open Concept Floor Plans, A Must See, Stunning Fitness Center",$0,,bayview,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-open-concept/7927148974.html,2026-04-12 05:22:44 UTC
"TMLP 12-mo. | Live In The Center Of It All! Trinity Towers, Downtown San Francis","$3,665",,tenderloin,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-live-in-the/7927148263.html,2026-04-12 05:22:44 UTC
"Additional Storage Available, Dishwasher, Dry Cleaning Service",$0,,portola district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-additional-storage/7927143312.html,2026-04-12 05:22:44 UTC
"Pet Friendly, Dishwasher, Valet one-car garage parking",$0,,pacific heights,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-friendly-dishwasher/7927140945.html,2026-04-12 05:22:44 UTC
"Gated, EV Charging, Washer and Dryer, Mid-Market, Pets Ok!","$4,379",,Mid-Market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gated-ev-charging-washer/7927140679.html,2026-04-12 05:22:44 UTC
"Access Controlled Community, City and Courtyard Views",$0,,lower nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-access-controlled/7927140301.html,2026-04-12 05:22:44 UTC
"TMLP 12-mo. | Landmark Living in the Arts District, Near Hayes Valley.","$4,130",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-landmark/7927140012.html,2026-04-12 05:22:44 UTC
